# Temperature [sim units], final average spin, convergence
1.000000000000000000e+00,9.996152592592590924e-01,1.000000000000000000e+00
1.100000000000000089e+00,9.983214320987652268e-01,1.000000000000000000e+00
1.200000000000000178e+00,9.969733580246910032e-01,1.000000000000000000e+00
1.300000000000000266e+00,9.959335061728395999e-01,1.000000000000000000e+00
1.400000000000000355e+00,9.915234567901234364e-01,1.000000000000000000e+00
1.500000000000000444e+00,9.865680987654321665e-01,1.000000000000000000e+00
1.600000000000000533e+00,9.816300493827160301e-01,1.000000000000000000e+00
1.700000000000000622e+00,9.692133086419753019e-01,1.000000000000000000e+00
1.800000000000000711e+00,9.572524938271605999e-01,1.000000000000000000e+00
1.900000000000000799e+00,9.354437777777777629e-01,1.000000000000000000e+00
2.000000000000000888e+00,8.575529629629629058e-01,1.000000000000000000e+00
2.100000000000000977e+00,8.810178518518517743e-01,1.000000000000000000e+00
2.200000000000001066e+00,8.282125679012344310e-01,1.000000000000000000e+00
2.300000000000001155e+00,5.539236790123457377e-01,1.000000000000000000e+00
2.400000000000001243e+00,1.137956543209876631e-01,1.000000000000000000e+00
2.500000000000001332e+00,-1.883948395061728343e-01,1.000000000000000000e+00
2.600000000000001421e+00,2.826851851851852060e-01,1.000000000000000000e+00
2.700000000000001510e+00,1.395081481481481173e-02,1.000000000000000000e+00
2.800000000000001599e+00,1.755762962962963136e-02,1.000000000000000000e+00
2.900000000000001688e+00,5.820212345679012800e-02,1.000000000000000000e+00
3.000000000000001776e+00,5.205306172839506418e-02,1.000000000000000000e+00
3.100000000000001865e+00,-1.223165432098765291e-02,1.000000000000000000e+00
3.200000000000001954e+00,7.328918518518517944e-02,1.000000000000000000e+00
3.300000000000002043e+00,1.293604938271602839e-03,1.000000000000000000e+00
3.400000000000002132e+00,1.198153086419753016e-02,1.000000000000000000e+00
3.500000000000002220e+00,1.223032098765431536e-02,1.000000000000000000e+00
3.600000000000002309e+00,2.348367901234568039e-02,1.000000000000000000e+00
3.700000000000002398e+00,-3.177814814814814565e-02,1.000000000000000000e+00
3.800000000000002487e+00,-7.068666666666664940e-03,1.000000000000000000e+00
3.900000000000002576e+00,3.808246913580246116e-03,1.000000000000000000e+00
4.000000000000002665e+00,1.359945679012345560e-02,1.000000000000000000e+00
4.100000000000003197e+00,-9.847975308641976691e-03,1.000000000000000000e+00
