# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,-9.833295308641976096e-01,1.000000000000000000e+00
3.000000000000000000e+00,-8.820146172839505860e-01,1.000000000000000000e+00
4.000000000000000000e+00,-6.703816296296296606e-01,1.000000000000000000e+00
5.000000000000000000e+00,-4.782805432098765075e-01,1.000000000000000000e+00
6.000000000000000000e+00,-3.647459259259259179e-01,1.000000000000000000e+00
7.000000000000000000e+00,-2.628066666666666329e-01,1.000000000000000000e+00
8.000000000000000000e+00,-2.170907654320987645e-01,1.000000000000000000e+00
9.000000000000000000e+00,-1.909184938271605292e-01,1.000000000000000000e+00
1.000000000000000000e+01,-1.509572592592592633e-01,1.000000000000000000e+00
1.100000000000000000e+01,-1.329358518518518883e-01,1.000000000000000000e+00
1.200000000000000000e+01,-1.265187160493827234e-01,1.000000000000000000e+00
1.300000000000000000e+01,-1.040634814814814929e-01,1.000000000000000000e+00
1.400000000000000000e+01,-9.656064197530864202e-02,0.000000000000000000e+00
1.500000000000000000e+01,-9.552283950617282415e-02,1.000000000000000000e+00
1.600000000000000000e+01,-8.068861728395061717e-02,1.000000000000000000e+00
1.700000000000000000e+01,-7.789061728395062223e-02,1.000000000000000000e+00
1.800000000000000000e+01,-7.720844444444444066e-02,1.000000000000000000e+00
1.900000000000000000e+01,-6.335325925925926194e-02,1.000000000000000000e+00
2.000000000000000000e+01,-5.878827160493828308e-02,1.000000000000000000e+00
