# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,-9.831676049382717109e-01,1.000000000000000000e+00
3.000000000000000000e+00,-8.872831358024692028e-01,1.000000000000000000e+00
4.000000000000000000e+00,-6.779825925925926366e-01,1.000000000000000000e+00
5.000000000000000000e+00,-4.848335802469135869e-01,1.000000000000000000e+00
6.000000000000000000e+00,-3.626423950617284064e-01,1.000000000000000000e+00
7.000000000000000000e+00,-2.662375802469135189e-01,0.000000000000000000e+00
8.000000000000000000e+00,-2.136550123456790462e-01,1.000000000000000000e+00
9.000000000000000000e+00,-1.788609382716049301e-01,1.000000000000000000e+00
1.000000000000000000e+01,-1.573755061728394911e-01,1.000000000000000000e+00
1.100000000000000000e+01,-1.286105432098765267e-01,1.000000000000000000e+00
1.200000000000000000e+01,-1.160818765432098665e-01,1.000000000000000000e+00
1.300000000000000000e+01,-1.006856296296296388e-01,1.000000000000000000e+00
1.400000000000000000e+01,-9.417970370370370992e-02,1.000000000000000000e+00
1.500000000000000000e+01,-8.388311111111110274e-02,1.000000000000000000e+00
1.600000000000000000e+01,-8.327340740740740710e-02,1.000000000000000000e+00
1.700000000000000000e+01,-7.903039506172838957e-02,1.000000000000000000e+00
1.800000000000000000e+01,-7.092664197530863801e-02,1.000000000000000000e+00
1.900000000000000000e+01,-6.250439506172840443e-02,1.000000000000000000e+00
2.000000000000000000e+01,-5.824422222222222500e-02,0.000000000000000000e+00
