# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,9.949362962962962076e-01,1.000000000000000000e+00
3.000000000000000000e+00,9.548037530864197375e-01,1.000000000000000000e+00
4.000000000000000000e+00,8.552457283950617439e-01,1.000000000000000000e+00
5.000000000000000000e+00,7.282403456790124130e-01,1.000000000000000000e+00
6.000000000000000000e+00,6.018592345679012467e-01,1.000000000000000000e+00
7.000000000000000000e+00,4.871277777777777707e-01,1.000000000000000000e+00
8.000000000000000000e+00,4.108271851851852396e-01,1.000000000000000000e+00
9.000000000000000000e+00,3.452624691358024411e-01,1.000000000000000000e+00
1.000000000000000000e+01,3.035069876543209921e-01,1.000000000000000000e+00
1.100000000000000000e+01,2.696218024691358073e-01,1.000000000000000000e+00
1.200000000000000000e+01,2.413648395061728513e-01,1.000000000000000000e+00
1.300000000000000000e+01,2.141515308641975257e-01,1.000000000000000000e+00
1.400000000000000000e+01,1.892550617283950687e-01,1.000000000000000000e+00
1.500000000000000000e+01,1.776515308641975488e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.589661975308642450e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.536950370370370189e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.399355802469136045e-01,0.000000000000000000e+00
1.900000000000000000e+01,1.319337037037036919e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.203236049382716139e-01,1.000000000000000000e+00
