# Temperature [sim units], final average spin, convergence
2.000000000000000000e+00,9.950244444444443781e-01,1.000000000000000000e+00
3.000000000000000000e+00,9.537853086419753046e-01,1.000000000000000000e+00
4.000000000000000000e+00,8.641964938271604613e-01,1.000000000000000000e+00
5.000000000000000000e+00,7.229105679012345353e-01,1.000000000000000000e+00
6.000000000000000000e+00,6.018102962962963431e-01,1.000000000000000000e+00
7.000000000000000000e+00,4.918812839506173096e-01,1.000000000000000000e+00
8.000000000000000000e+00,3.988930617283950597e-01,1.000000000000000000e+00
9.000000000000000000e+00,3.573738765432098452e-01,1.000000000000000000e+00
1.000000000000000000e+01,2.998269629629630173e-01,1.000000000000000000e+00
1.100000000000000000e+01,2.645124938271605219e-01,1.000000000000000000e+00
1.200000000000000000e+01,2.433056790123457047e-01,1.000000000000000000e+00
1.300000000000000000e+01,2.153829876543209842e-01,1.000000000000000000e+00
1.400000000000000000e+01,1.952451111111111193e-01,1.000000000000000000e+00
1.500000000000000000e+01,1.765879012345679400e-01,1.000000000000000000e+00
1.600000000000000000e+01,1.612425185185184795e-01,1.000000000000000000e+00
1.700000000000000000e+01,1.554778024691358396e-01,1.000000000000000000e+00
1.800000000000000000e+01,1.441064197530864399e-01,1.000000000000000000e+00
1.900000000000000000e+01,1.314783950617283981e-01,1.000000000000000000e+00
2.000000000000000000e+01,1.253861975308641630e-01,1.000000000000000000e+00
