                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20240518"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      587                  1.0000000000000001E-005                 -4.9999999999999991E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.2597884038042793E-001                  1.7038919786241313E-003                  8.6802684327658197E-001                  7.4061233756948430E-001                  7.2597884038042793E-001                  1.7038919786241313E-003                  8.6802684327658197E-001                  7.4061233756948430E-001                 -2.0073558634332841E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073558634332841E+001                 -2.0073558634332841E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4948981677030178E+000                  3.2570977499737402E-001                  6.9631738854527714E-001                  2.2547695908652017E+000                  1.5922250726830051E-003                  5.4770215275057055E+000                 -1.7491534446749950E+000                  1.1835885056072099E+001                 -1.7491534446749950E+000                  5.4770215275057055E+000                  6.2470502783473414E-001                  8.5000496627254207E-001                  1.2966439686859803E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059862E-003                  9.3604492797742123E-003                  1.1340000000000006E-001                  4.5355172783089343E-002                                        0                                        0                                        5 
                                       5                                      587                  7.4416000000000000E-005                 -4.6832750158095005E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.2597884038042770E-001                  1.7038919787812712E-003                  8.6802684327658186E-001                  7.4061233756963585E-001                  7.2597884038042770E-001                  1.7038919787812712E-003                  8.6802684327658186E-001                  7.4061233756963585E-001                 -2.0073562317621946E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073562317621946E+001                 -2.0073562317621946E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4948619879142306E+000                  3.2556855183361105E-001                  6.9631913654097033E-001                  2.2547660948738155E+000                  1.4406712854443655E-003                  5.4770216400524259E+000                 -1.7491532711582081E+000                  1.1835885346300490E+001                 -1.7491532711582081E+000                  5.4770216400524259E+000                  6.2470502584459009E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059867E-003                  9.3604492797742141E-003                  1.1340000000000003E-001                  4.5355172783089343E-002                                        0                                        0                                        5 
                                      10                                      587                  2.5958682111999992E-004                 -4.2873687855713767E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.2597884038042759E-001                  1.7038919792393015E-003                  8.6802684327658186E-001                  7.4061233757008882E-001                  7.2597884038042759E-001                  1.7038919792393015E-003                  8.6802684327658186E-001                  7.4061233757008882E-001                 -2.0073571696020480E+001                 -9.8999999999999986E+001                 -3.5822569484013762E+001                 -2.0073571696020480E+001                 -2.0073571696020480E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4948353619427124E+000                  3.2547057176312727E-001                  6.9632339844876512E-001                  2.2547575710582257E+000                  1.1763015451302468E-003                  5.4770219322728009E+000                 -1.7491528173092068E+000                  1.1835886103118348E+001                 -1.7491528173092068E+000                  5.4770219322728009E+000                  6.2470502069484790E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059871E-003                  9.3604492797742141E-003                  1.1340000000000006E-001                  4.5355172783089336E-002                                        0                                        0                                        5 
                                      15                                      587                  7.2035107872931792E-004                 -3.8914625553332525E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  7.2597884038042715E-001                  1.7038919804146461E-003                  8.6802684327658164E-001                  7.4061233757128953E-001                  7.2597884038042715E-001                  1.7038919804146461E-003                  8.6802684327658164E-001                  7.4061233757128953E-001                 -2.0073589701975042E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073589701975042E+001                 -2.0073589701975042E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4949556810365827E+000                  3.2596844625297972E-001                  6.9633169750595059E-001                  2.2547409729438548E+000                  9.0386032856025022E-004                  5.4770225271459116E+000                 -1.7491518902128931E+000                  1.1835887646905578E+001                 -1.7491518902128931E+000                  5.4770225271459116E+000                  6.2470501022837732E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742158E-003                  1.1340000000000003E-001                  4.5355172783089336E-002                                        0                                        0                                        5 
                                      20                                      587                  1.8668799962237360E-003                 -3.4955563250951283E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.7038919834896915E-003                  2.4294998742184890E-005                  1.5633650490555870E-007                  1.0000000000000000E+000                  1.7038919834896915E-003                  2.4294998742184890E-005                  1.5633650490555870E-007                 -2.0073617908591267E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073617908591267E+001                 -2.0073617908591267E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4953562459064074E+000                  3.2760097853601300E-001                  6.9634683390781904E-001                  2.2547107001401181E+000                  6.3609486002070756E-004                  5.4770235969522876E+000                 -1.7491502204806115E+000                  1.1835890425632360E+001                 -1.7491502204806115E+000                  5.4770235969522876E+000                  6.2470499141869351E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059893E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742141E-003                  1.1340000000000006E-001                  4.5355172783089336E-002                                        0                                        0                                        5 
                                      25                                      587                  4.7198108322034464E-003                 -3.0996500948570045E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.7038919916618970E-003                  2.4294998741788580E-005                  1.5676993139544438E-007                  1.0000000000000000E+000                  1.7038919916618970E-003                  2.4294998741788580E-005                  1.5676993139544438E-007                 -2.0073652394409422E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073652394409422E+001                 -2.0073652394409422E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4959248075791574E+000                  3.2992124034070269E-001                  6.9636984146466274E-001                  2.2546646850264307E+000                  3.5120947899528306E-004                  5.4770253268953040E+000                 -1.7491475185173733E+000                  1.1835894920870556E+001                 -1.7491475185173733E+000                  5.4770253268953040E+000                  6.2470496101226491E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742158E-003                  1.1340000000000006E-001                  4.5355172783089343E-002                                        0                                        0                                        5 
                                      30                                      587                  1.1818815689988476E-002                 -2.7037438646188803E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.7038920120104578E-003                  2.4294998741062690E-005                  1.6102644704857295E-007                  1.0000000000000000E+000                  1.7038920120104578E-003                  2.4294998741062690E-005                  1.6102644704857295E-007                 -2.0073685280996408E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073685280996408E+001                 -2.0073685280996408E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4963906490243142E+000                  3.3183748296048377E-001                  6.9639627988424013E-001                  2.2546118081872759E+000                  1.4578046670279244E-004                  5.4770279810789386E+000                 -1.7491433713555118E+000                  1.1835901819350866E+001                 -1.7491433713555118E+000                  5.4770279810789386E+000                  6.2470491436943820E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059888E-003                  9.3604492797742141E-003                  3.4416073257059862E-003                  9.3604492797742123E-003                  1.1340000000000006E-001                  4.5355172783089336E-002                                        0                                        0                                        5 
                                      35                                      587                  2.9483411457712123E-002                 -2.3078376343807565E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.7038920560417915E-003                  2.4294998740560352E-005                  2.0757194078928949E-007                  1.0000000000000000E+000                  1.7038920560417915E-003                  2.4294998740560352E-005                  2.0757194078928949E-007                 -2.0073710443825259E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073710443825259E+001                 -2.0073710443825259E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4966520849910148E+000                  3.3293282615415704E-001                  6.9642107954767518E-001                  2.2545622088604058E+000                  5.2682252184942289E-005                  5.4770318476904025E+000                 -1.7491373283725535E+000                  1.1835911870422386E+001                 -1.7491373283725535E+000                  5.4770318476904025E+000                  6.2470484642736290E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059893E-003                  9.3604492797742141E-003                  3.4416073257059841E-003                  9.3604492797742141E-003                  1.1340000000000001E-001                  4.5355172783089322E-002                                        0                                        0                                        5 
                                      40                                      587                  7.3438578398454205E-002                 -1.9119314041426323E+000                  1.6200000000000001E-001                  3.2508193465102813E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  1.0000000000000000E+000                  1.7038921657532625E-003                  1.7147711638450615E-005                  3.1251382885516150E-007                  1.0000000000000000E+000                  1.7038921657532625E-003                  1.7147711638450615E-005                  3.1251382885516150E-007                 -2.0073719770187363E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0073719770187363E+001                 -2.0073719770187363E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.4967795531269017E+000                  3.3348524364756271E-001                  6.9644235202260396E-001                  2.2545196639105480E+000                  1.7206044127771950E-005                  5.4770368684600426E+000                 -1.7491294806945181E+000                  1.1835924922557275E+001                 -1.7491294806945181E+000                  5.4770368684600426E+000                  6.2470475820932858E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474890E-001                  3.4416073257059893E-003                  9.3604492797742141E-003                  3.4416073257059828E-003                  9.3604492797742141E-003                  1.1340000000000006E-001                  4.5355172783089315E-002                                        0                                        0                                        5 
