                                       1                                        2                                        3                                        4                                        5                                        6                                        7 
                          version_number                                 compiler                                    build                         MESA_SDK_version                                     date                                burn_min1                                burn_min2 
                                   12115                               "gfortran"                                  "9.2.0"                  "x86_64-linux-20190830"                               "20240518"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56                                       57                                       58                                       59                                       60                                       61 
                            model_number                                num_zones                                 star_age                                   log_dt                                star_mass                               log_xmstar                             log_abs_mdot                           mass_conv_core                             conv_mx1_top                             conv_mx1_bot                             conv_mx2_top                             conv_mx2_bot                                  mx1_top                                  mx1_bot                                  mx2_top                                  mx2_bot                                   log_LH                                  log_LHe                                   log_LZ                                 log_Lnuc                                       pp                                      cno                                 tri_alfa                               epsnuc_M_1                               epsnuc_M_2                               epsnuc_M_3                               epsnuc_M_4                               epsnuc_M_5                               epsnuc_M_6                               epsnuc_M_7                               epsnuc_M_8                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                                 log_Teff                                    log_L                                    log_R                                    log_g                        v_div_csound_surf                             log_center_T                           log_center_Rho                               log_cntr_P                             log_cntr_Rho                               log_cntr_T                                center_mu                                center_ye                              center_abar                                center_h1                               center_he4                               center_c12                               center_o16                              surface_c12                              surface_o16                            total_mass_h1                           total_mass_he4                              num_retries                              num_backups                                num_iters 
                                       1                                      445                  1.0000000000000001E-005                 -4.9999999999999991E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.2545488719725849E-003                  9.9995169883425783E-001                  2.2347228095198358E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                  9.9995169883425783E-001                  2.2347228095198358E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                 -2.1768153677311524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1768153677311524E+001                 -2.1768153677311524E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5389052384567745E+000                  4.3413041508919719E+000                  2.6161004349850630E+000                  5.0671847910698042E-001                  1.0217862830229365E+000                  5.4782028082397511E+000                 -5.5769077061207328E+000                  8.1042529009349167E+000                 -5.5769077061207328E+000                  5.4782028082397511E+000                  6.2094933859650647E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059667E-003                  9.3604492797742123E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  1.4000000000000005E+001                  5.5994040472949802E+000                                        0                                        0                                        2 
                                       5                                      445                  7.4416000000000000E-005                 -4.6832750158095005E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.2529826979230934E-003                  9.9995169883425783E-001                  2.2354955461573905E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                  9.9995169883425783E-001                  2.2354955461573905E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                 -2.1768152931039360E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1768152931039360E+001                 -2.1768152931039360E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5391986325518876E+000                  4.3425127849630281E+000                  2.6161179638303658E+000                  5.0668342141637490E-001                  9.6792698566326174E-001                  5.4782011893892415E+000                 -5.5769043034769616E+000                  8.1042533415922513E+000                 -5.5769043034769616E+000                  5.4782011893892415E+000                  6.2094933882013237E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059658E-003                  9.3604492797742123E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  1.4000000000000005E+001                  5.5994040472949802E+000                                        0                                        0                                        2 
                                      10                                      445                  2.5958682111999992E-004                 -4.2873687855713767E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.2477402431962537E-003                  9.9995169883425772E-001                  2.2380949244484876E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                  9.9995169883425772E-001                  2.2380949244484876E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                 -2.1768148410567704E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.1768148410567704E+001                 -2.1768148410567704E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5398720956815777E+000                  4.3452983069891653E+000                  2.6161637985840542E+000                  5.0659175190899797E-001                  8.5830674815446140E-001                  5.4781980301786772E+000                 -5.5768967252158870E+000                  8.1042549870646372E+000                 -5.5768967252158870E+000                  5.4781980301786772E+000                  6.2094933925949070E-001                  8.5000496627254207E-001                  1.2966439686859801E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059654E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  1.4000000000000000E+001                  5.5994040472949802E+000                                        0                                        0                                        2 
                                      15                                      446                  7.2035107872931792E-004                 -3.8914625553332525E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.2294570271099850E-003                  9.9995169883425772E-001                  2.2472761683525180E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                  9.9995169883425772E-001                  2.2472761683525180E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                 -2.1768129040611537E+001                 -9.8999999999999986E+001                 -3.7628749457997642E+001                 -2.1768129040611537E+001                 -2.1768129040611537E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5409625229914599E+000                  4.3498563121743254E+000                  2.6162619465568691E+000                  5.0639545596336832E-001                  7.3004644439952937E-001                  5.4781949661486129E+000                 -5.5768848709769232E+000                  8.1042603550719789E+000                 -5.5768848709769232E+000                  5.4781949661486129E+000                  6.2094933970020560E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059641E-003                  9.3604492797742123E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  1.4000000000000005E+001                  5.5994040472949802E+000                                        0                                        0                                        3 
                                      20                                      445                  1.8668799962237360E-003                 -3.4955563250951283E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.1454670968370445E-003                  9.9995169883425772E-001                  2.2910115733953479E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                  9.9995169883425772E-001                  2.2910115733953479E-004                  3.6621844807060632E-005                  7.8130819149757018E-008                 -2.1768069117314791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1768069117314791E+001                 -2.1768069117314791E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5427893367785752E+000                  4.3576017858517915E+000                  2.6164810558213718E+000                  5.0595723743436238E-001                  6.7504586765212504E-001                  5.4781957234217078E+000                 -5.5768683220553701E+000                  8.1042753403967662E+000                 -5.5768683220553701E+000                  5.4781957234217078E+000                  6.2094933965473342E-001                  8.5000496627254207E-001                  1.2966439686859801E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059632E-003                  9.3604492797742141E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  1.4000000000000000E+001                  5.5994040472949802E+000                                        0                                        0                                        3 
                                      25                                      446                  4.7198108322034464E-003                 -3.0996500948570045E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  7.3242689552839254E-004                  9.9995169883425772E-001                  2.5808743448957046E-004                  2.3311295348093842E-005                  7.8130819150034845E-008                  9.9995169883425772E-001                  2.5808743448957046E-004                  2.3311295348093842E-005                  7.8130819150034845E-008                 -2.1767918681503424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1767918681503424E+001                 -2.1767918681503424E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5469201655477249E+000                  4.3751614084478119E+000                  2.6169992095810826E+000                  5.0492092991494075E-001                  6.2729983469972705E-001                  5.4782048867187125E+000                 -5.5768411666314677E+000                  8.1043117152823445E+000                 -5.5768411666314677E+000                  5.4782048867187125E+000                  6.2094933853733214E-001                  8.5000496627254207E-001                  1.2966439686859805E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059615E-003                  9.3604492797742123E-003                  3.4416073257059888E-003                  9.3604492797742141E-003                  1.4000000000000005E+001                  5.5994040472949802E+000                                        0                                        0                                        3 
                                      30                                      443                  1.1818815689988476E-002                 -2.7037438646188803E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  6.9258424466867355E-004                  9.9995169883425772E-001                  1.6462960605473404E-003                  2.3311295345479783E-005                  7.8130816535960793E-008                  9.9995169883425772E-001                  1.6462960605473404E-003                  2.3311295345479783E-005                  7.8130816535960793E-008                 -2.1767534338007618E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1767534338007618E+001                 -2.1767534338007618E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5545329068429519E+000                  4.4078270790412439E+000                  2.6181065622873447E+000                  5.0270622450241642E-001                  5.0323271882010112E-001                  5.4782310899643267E+000                 -5.5767812828848884E+000                  8.1044008516920467E+000                 -5.5767812828848884E+000                  5.4782310899643267E+000                  6.2094933525949081E-001                  8.5000496627254196E-001                  1.2966439686859801E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059615E-003                  9.3604492797742141E-003                  3.4416073257059880E-003                  9.3604492797742141E-003                  1.4000000000000005E+001                  5.5994040472949811E+000                                        0                                        0                                        3 
                                      35                                      445                  2.9483411457712123E-002                 -2.3078376343807565E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  4.3650225417536344E-004                  9.9994836492074091E-001                  1.6475413611188280E-003                  1.6656020615502457E-005                  7.8130816035220511E-008                  9.9994836492074091E-001                  1.6475413611188280E-003                  1.6656020615502457E-005                  7.8130816035220511E-008                 -2.1766582937066858E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1766582937066858E+001                 -2.1766582937066858E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5643451764103871E+000                  4.4511675565466158E+000                  2.6201522619051603E+000                  4.9861482526678563E-001                  3.4823917780274605E-001                  5.4782951696895292E+000                 -5.5766387102859563E+000                  8.1046155914594511E+000                 -5.5766387102859563E+000                  5.4782951696895292E+000                  6.2094932707708705E-001                  8.5000496627254207E-001                  1.2966439686859808E+000                  7.0000000000000007E-001                  2.7997020236474884E-001                  3.4416073257059593E-003                  9.3604492797742123E-003                  3.4416073257059897E-003                  9.3604492797742158E-003                  1.4000000000000002E+001                  5.5994040472949811E+000                                        0                                        0                                        3 
                                      40                                      434                  7.3438578398454205E-002                 -1.9119314041426323E+000                  2.0000000000000000E+001                  3.4599708446224163E+001                 -9.8999999999999986E+001                  1.8067670670507825E-004                  9.9992454051153501E-001                  1.6429584854917142E-003                  5.0003729369160700E-006                  7.8130815630210145E-008                  9.9992454051153501E-001                  1.6429584854917142E-003                  5.0003729369160700E-006                  7.8130815630210145E-008                 -2.1764387221661657E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.1764387221661657E+001                 -2.1764387221661657E+001                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                 -2.0000000000000000E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.5730212730391520E+000                  4.4921406013150635E+000                  2.6232865910318535E+000                  4.9234616701339884E-001                  1.9480242959811248E-001                  5.4784437627264930E+000                 -5.5763080768198536E+000                  8.1051135709905200E+000                 -5.5763080768198536E+000                  5.4784437627264930E+000                  6.2094930723546593E-001                  8.5000496627254207E-001                  1.2966439686859803E+000                  7.0000000000000018E-001                  2.7997020236474890E-001                  3.4416073257059589E-003                  9.3604492797742141E-003                  3.4416073257059884E-003                  9.3604492797742141E-003                  1.4000000000000005E+001                  5.5994040472949802E+000                                        0                                        0                                        5 
