# Abundance evolution pp-chain (t_eq = {t_eq} Gyr)
# time [Gyr], 1H, 2H, 3He, 4He
0.000000000000000000e+00,7.152344947379176698e-01,1.430468989475835312e-03,6.995150552931282033e-04,6.995150552931281296e-02
4.232690238672000000e+13,7.148276648257253507e-01,4.333856355924243437e-19,3.195569838145787683e-05,7.100559472168857522e-02
7.386290238672000000e+13,7.148148812995042123e-01,4.333778851975962144e-19,1.971062793035074120e-05,7.101549846920346409e-02
1.053989023867200000e+14,7.147988656783685890e-01,4.333681752486298187e-19,1.393144167791938441e-05,7.102216910518205362e-02
1.369349023867200000e+14,7.147812520116336721e-01,4.333574964367585159e-19,1.135021001110870755e-05,7.102724057752912712e-02
1.684709023867200000e+14,7.147628920423466647e-01,4.333463651566606250e-19,1.026352573751869137e-05,7.103156458195068745e-02
2.000069023867200000e+14,7.147442088378468394e-01,4.333350379055545324e-19,9.825288321065911936e-06,7.103556416530051876e-02
2.315429023867200000e+14,7.147253938818823871e-01,4.333236307761854475e-19,9.652544150109598203e-06,7.103943080299597590e-02
2.630789023867200000e+14,7.147065272880624986e-01,4.333121923398231996e-19,9.585071416010785696e-06,7.104324460540041575e-02
2.946149023867200000e+14,7.146876411241462890e-01,4.333007420385050992e-19,9.558736617706158463e-06,7.104703763906262959e-02
3.261509023867200000e+14,7.146687479697264589e-01,4.332892874989852743e-19,9.548381256597846559e-06,7.105082248316327287e-02
3.576869023867200000e+14,7.146498527184945715e-01,4.332778316882106117e-19,9.544218118270593891e-06,7.105460403129264246e-02
3.892229023867200000e+14,7.146309572678682942e-01,4.332663757565468672e-19,9.542452335699418934e-06,7.105838418088744612e-02
4.207589023867200000e+14,7.146120623525544779e-01,4.332549201494325555e-19,9.541614385712634473e-06,7.106216366672020446e-02
4.522949023867200000e+14,7.145931682568731347e-01,4.332434650392448584e-19,9.541135488730183900e-06,7.106594277319465414e-02
4.838309023867200000e+14,7.145742750908021801e-01,4.332320104926612039e-19,9.540795537888032305e-06,7.106972161037936053e-02
5.153669023867200000e+14,7.145553828968497223e-01,4.332205565354534718e-19,9.540509361095851878e-06,7.107350022087591257e-02
5.469029023867200000e+14,7.145364916914159759e-01,4.332091031775647568e-19,9.540244000772290012e-06,7.107727862117885209e-02
5.784389023867200000e+14,7.145176014807984588e-01,4.331976504228131187e-19,9.539986703825637611e-06,7.108105681768052408e-02
6.099749023867200000e+14,7.144987122673854829e-01,4.331861982726465199e-19,9.539732535328141705e-06,7.108483481286421990e-02
6.415109023867200000e+14,7.144798240520526811e-01,4.331747467275959393e-19,9.539479585635391446e-06,7.108861260770059365e-02
6.730469023867200000e+14,7.144609368350903766e-01,4.331632957878371660e-19,9.539227115769915969e-06,7.109239020257497599e-02
7.045829023867200000e+14,7.144420506165624074e-01,4.331518454534090076e-19,9.538974839763722554e-06,7.109616759764618432e-02
7.361189023867200000e+14,7.144231653964449036e-01,4.331403957242971159e-19,9.538722646951326448e-06,7.109994479298538395e-02
7.676549023867200000e+14,7.144042811746800226e-01,4.331289466004664390e-19,9.538470494505693213e-06,7.110372178862982284e-02
7.991909023867200000e+14,7.143853979511969321e-01,4.331174980818737879e-19,9.538218365852285424e-06,7.110749858460362061e-02
8.307269023867200000e+14,7.143665157259196929e-01,4.331060501684735180e-19,9.537966254576080421e-06,7.111127518092583144e-02
8.622629023867200000e+14,7.143476344987704785e-01,4.330946028602179145e-19,9.537714158193758866e-06,7.111505157761351115e-02
8.937989023867200000e+14,7.143287542696704628e-01,4.330831561570595031e-19,9.537462075743594471e-06,7.111882777468298000e-02
9.253349023867200000e+14,7.143098750385408202e-01,4.330717100589505209e-19,9.537210006852731801e-06,7.112260377215023910e-02
9.568709023867200000e+14,7.142909968053025027e-01,4.330602645658430602e-19,9.536957951376214720e-06,7.112637957003119238e-02
9.884069023867200000e+14,7.142721195698763514e-01,4.330488196776888766e-19,9.536705909257297103e-06,7.113015516834168828e-02
1.019942902386720000e+15,7.142532433321833185e-01,4.330373753944403996e-19,9.536453880473366558e-06,7.113393056709756135e-02
1.051478902386720000e+15,7.142343680921443561e-01,4.330259317160492402e-19,9.536201865015022714e-06,7.113770576631463227e-02
1.083014902386720000e+15,7.142154938496803052e-01,4.330144886424680204e-19,9.535949862877984666e-06,7.114148076600872173e-02
1.114550902386720000e+15,7.141966206047121180e-01,4.330030461736482070e-19,9.535697874059941709e-06,7.114525556619565039e-02
1.146086902386720000e+15,7.141777483571606355e-01,4.329916043095422294e-19,9.535445898559357324e-06,7.114903016689123894e-02
1.177622902386720000e+15,7.141588771069469210e-01,4.329801630501020356e-19,9.535193936374988067e-06,7.115280456811129417e-02
1.209158902386720000e+15,7.141400068539918156e-01,4.329687223952797182e-19,9.534941987505705691e-06,7.115657876987163677e-02
1.240694902386720000e+15,7.141211375982163823e-01,4.329572823450273215e-19,9.534690051950425992e-06,7.116035277218805966e-02
1.272230902386720000e+15,7.141022693395414622e-01,4.329458428992970343e-19,9.534438129708081711e-06,7.116412657507638351e-02
1.303766902386720000e+15,7.140834020778881186e-01,4.329344040580405639e-19,9.534186220777615749e-06,7.116790017855241512e-02
1.335302902386720000e+15,7.140645358131773035e-01,4.329229658212106768e-19,9.533934325157971009e-06,7.117167358263196131e-02
1.366838902386720000e+15,7.140456705453299691e-01,4.329115281887587915e-19,9.533682442848092088e-06,7.117544678733081498e-02
1.398374902386720000e+15,7.140268062742670674e-01,4.329000911606373857e-19,9.533430573846923584e-06,7.117921979266479682e-02
1.429910902386720000e+15,7.140079429999096616e-01,4.328886547367984555e-19,9.533178718153410093e-06,7.118299259864968587e-02
1.461446902386720000e+15,7.139890807221788149e-01,4.328772189171942379e-19,9.532926875766496212e-06,7.118676520530128893e-02
1.492982902386720000e+15,7.139702194409954794e-01,4.328657837017766328e-19,9.532675046685129926e-06,7.119053761263541280e-02
1.524518902386720000e+15,7.139513591562807182e-01,4.328543490904978771e-19,9.532423230908255833e-06,7.119430982066783653e-02
1.556054902386720000e+15,7.139324998679554835e-01,4.328429150833101597e-19,9.532171428434818529e-06,7.119808182941436692e-02
1.587590902386720000e+15,7.139136415759409493e-01,4.328314816801653803e-19,9.531919639263764304e-06,7.120185363889078300e-02
1.619126902386720000e+15,7.138947842801580679e-01,4.328200488810159205e-19,9.531667863394039451e-06,7.120562524911289159e-02
1.650662902386720000e+15,7.138759279805279023e-01,4.328086166858138245e-19,9.531416100824590261e-06,7.120939666009647173e-02
1.682198902386720000e+15,7.138570726769715158e-01,4.327971850945113292e-19,9.531164351554361329e-06,7.121316787185730246e-02
1.713734902386720000e+15,7.138382183694100824e-01,4.327857541070604310e-19,9.530912615582300641e-06,7.121693888441117670e-02
1.745270902386720000e+15,7.138193650577645544e-01,4.327743237234132704e-19,9.530660892907352795e-06,7.122070969777388738e-02
1.776806902386720000e+15,7.138005127419561058e-01,4.327628939435222769e-19,9.530409183528465775e-06,7.122448031196119966e-02
1.808342902386720000e+15,7.137816614219057998e-01,4.327514647673392542e-19,9.530157487444585872e-06,7.122825072698890647e-02
1.839878902386720000e+15,7.137628110975348106e-01,4.327400361948166317e-19,9.529905804654657684e-06,7.123202094287277297e-02
1.871414902386720000e+15,7.137439617687642013e-01,4.327286082259065020e-19,9.529654135157632582e-06,7.123579095962859209e-02
1.902950902386720000e+15,7.137251134355151461e-01,4.327171808605610539e-19,9.529402478952453471e-06,7.123956077727212899e-02
1.934486902386720000e+15,7.137062660977087081e-01,4.327057540987324761e-19,9.529150836038070030e-06,7.124333039581916271e-02
1.966022902386720000e+15,7.136874197552661725e-01,4.326943279403729575e-19,9.528899206413428549e-06,7.124709981528545844e-02
1.997558902386720000e+15,7.136685744081084914e-01,4.326829023854344942e-19,9.528647590077473625e-06,7.125086903568678132e-02
2.029094902386720000e+15,7.136497300561569501e-01,4.326714774338696603e-19,9.528395987029154938e-06,7.125463805703891040e-02
2.060630902386720000e+15,7.136308866993327227e-01,4.326600530856305962e-19,9.528144397267422166e-06,7.125840687935761086e-02
2.092166902386720000e+15,7.136120443375569833e-01,4.326486293406692984e-19,9.527892820791219908e-06,7.126217550265864786e-02
2.123702902386720000e+15,7.135932029707509061e-01,4.326372061989380036e-19,9.527641257599496147e-06,7.126594392695778657e-02
2.155238902386720000e+15,7.135743625988356653e-01,4.326257836603891896e-19,9.527389707691200562e-06,7.126971215227079215e-02
2.186774902386720000e+15,7.135555232217324351e-01,4.326143617249748044e-19,9.527138171065279446e-06,7.127348017861341589e-02
2.218310902386720000e+15,7.135366848393625006e-01,4.326029403926472775e-19,9.526886647720680782e-06,7.127724800600142296e-02
2.249846902386720000e+15,7.135178474516470359e-01,4.325915196633586052e-19,9.526635137656350863e-06,7.128101563445056466e-02
2.281382902386720000e+15,7.134990110585072154e-01,4.325800995370613132e-19,9.526383640871242755e-06,7.128478306397659225e-02
2.312918902386720000e+15,7.134801756598643241e-01,4.325686800137074460e-19,9.526132157364301055e-06,7.128855029459527093e-02
2.344454902386720000e+15,7.134613412556396472e-01,4.325572610932492404e-19,9.525880687134473748e-06,7.129231732632233809e-02
2.375990902386720000e+15,7.134425078457543590e-01,4.325458427756390297e-19,9.525629230180712208e-06,7.129608415917355890e-02
2.407526902386720000e+15,7.134236754301298555e-01,4.325344250608291471e-19,9.525377786501962725e-06,7.129985079316467078e-02
2.439062902386720000e+15,7.134048440086873111e-01,4.325230079487719740e-19,9.525126356097176673e-06,7.130361722831142501e-02
2.470598902386720000e+15,7.133860135813480108e-01,4.325115914394193621e-19,9.524874938965302037e-06,7.130738346462957289e-02
2.502134902386720000e+15,7.133671841480332398e-01,4.325001755327239818e-19,9.524623535105288495e-06,7.131114950213485182e-02
2.533670902386720000e+15,7.133483557086642834e-01,4.324887602286378773e-19,9.524372144516082340e-06,7.131491534084301309e-02
2.565206902386720000e+15,7.133295282631624268e-01,4.324773455271134301e-19,9.524120767196634943e-06,7.131868098076978024e-02
2.596742902386720000e+15,7.133107018114489550e-01,4.324659314281028771e-19,9.523869403145895985e-06,7.132244642193090456e-02
2.628278902386720000e+15,7.132918763534452644e-01,4.324545179315586477e-19,9.523618052362813451e-06,7.132621166434210958e-02
2.659814902386720000e+15,7.132730518890726401e-01,4.324431050374327865e-19,9.523366714846337019e-06,7.132997670801914658e-02
2.691350902386720000e+15,7.132542284182523673e-01,4.324316927456779636e-19,9.523115390595418062e-06,7.133374155297773911e-02
2.722886902386720000e+15,7.132354059409058422e-01,4.324202810562462233e-19,9.522864079609004567e-06,7.133750619923362457e-02
2.754422902386720000e+15,7.132165844569544610e-01,4.324088699690899471e-19,9.522612781886046211e-06,7.134127064680252650e-02
2.785958902386720000e+15,7.131977639663195090e-01,4.323974594841612756e-19,9.522361497425494369e-06,7.134503489570018231e-02
2.817494902386720000e+15,7.131789444689224933e-01,4.323860496014129754e-19,9.522110226226298719e-06,7.134879894594231553e-02
2.849030902386720000e+15,7.131601259646845881e-01,4.323746403207969463e-19,9.521858968287410634e-06,7.135256279754464970e-02
2.880566902386720000e+15,7.131413084535273006e-01,4.323632316422658106e-19,9.521607723607779795e-06,7.135632645052290834e-02
2.912102902386720000e+15,7.131224919353720271e-01,4.323518235657718050e-19,9.521356492186355879e-06,7.136008990489281500e-02
2.943638902386720000e+15,7.131036764101401637e-01,4.323404160912673111e-19,9.521105274022090260e-06,7.136385316067009321e-02
2.975174902386720000e+15,7.130848618777531067e-01,4.323290092187046138e-19,9.520854069113934311e-06,7.136761621787045262e-02
3.006710902386720000e+15,7.130660483381322523e-01,4.323176029480361428e-19,9.520602877460836017e-06,7.137137907650961677e-02
3.038246902386720000e+15,7.130472357911989967e-01,4.323061972792142794e-19,9.520351699061750141e-06,7.137514173660329531e-02
3.069782902386720000e+15,7.130284242368748471e-01,4.322947922121911643e-19,9.520100533915624666e-06,7.137890419816721177e-02
3.101318902386720000e+15,7.130096136750811997e-01,4.322833877469194195e-19,9.519849382021410965e-06,7.138266646121707582e-02
3.132854902386720000e+15,7.129908041057395618e-01,4.322719838833513783e-19,9.519598243378062108e-06,7.138642852576858322e-02
3.164390902386720000e+15,7.129719955287713296e-01,4.322605806214392776e-19,9.519347117984527771e-06,7.139019039183745752e-02
3.195926902386720000e+15,7.129531879440980102e-01,4.322491779611357878e-19,9.519096005839761023e-06,7.139395205943940836e-02
3.227462902386720000e+15,7.129343813516411110e-01,4.322377759023929532e-19,9.518844906942711543e-06,7.139771352859013154e-02
3.258998902386720000e+15,7.129155757513220282e-01,4.322263744451635402e-19,9.518593821292332398e-06,7.140147479930533669e-02
3.290534902386720000e+15,7.128967711430622689e-01,4.322149735893996896e-19,9.518342748887574962e-06,7.140523587160071961e-02
3.322070902386720000e+15,7.128779675267834515e-01,4.322035733350538791e-19,9.518091689727392301e-06,7.140899674549198994e-02
3.353606902386720000e+15,7.128591649024069721e-01,4.321921736820784900e-19,9.517840643810734094e-06,7.141275742099484347e-02
3.385142902386720000e+15,7.128403632698543380e-01,4.321807746304260963e-19,9.517589611136555104e-06,7.141651789812497597e-02
3.416678902386720000e+15,7.128215626290471674e-01,4.321693761800486942e-19,9.517338591703803315e-06,7.142027817689806934e-02
3.448214902386720000e+15,7.128027629799068565e-01,4.321579783308992911e-19,9.517087585511436876e-06,7.142403825732983325e-02
3.479750902386720000e+15,7.127839643223551347e-01,4.321465810829299793e-19,9.516836592558403774e-06,7.142779813943596345e-02
3.511286902386720000e+15,7.127651666563133981e-01,4.321351844360932366e-19,9.516585612843658768e-06,7.143155782323214187e-02
3.542822902386720000e+15,7.127463699817032650e-01,4.321237883903415406e-19,9.516334646366154926e-06,7.143531730873405039e-02
3.574358902386720000e+15,7.127275742984462426e-01,4.321123929456272247e-19,9.516083693124841928e-06,7.143907659595739867e-02
3.605894902386720000e+15,7.127087796064639491e-01,4.321009981019029109e-19,9.515832753118674535e-06,7.144283568491785474e-02
3.637430902386720000e+15,7.126899859056780029e-01,4.320896038591210768e-19,9.515581826346607508e-06,7.144659457563110050e-02
3.668966902386720000e+15,7.126711931960100221e-01,4.320782102172339595e-19,9.515330912807590526e-06,7.145035326811283172e-02
3.700502902386720000e+15,7.126524014773815141e-01,4.320668171761943255e-19,9.515080012500580045e-06,7.145411176237871642e-02
3.732038902386720000e+15,7.126336107497140970e-01,4.320554247359543155e-19,9.514829125424527438e-06,7.145787005844443651e-02
3.763574902386720000e+15,7.126148210129295002e-01,4.320440328964666478e-19,9.514578251578387466e-06,7.146162815632567389e-02
3.795110902386720000e+15,7.125960322669492308e-01,4.320326416576838482e-19,9.514327390961113196e-06,7.146538605603809657e-02
3.826646902386720000e+15,7.125772445116949072e-01,4.320212510195581057e-19,9.514076543571657697e-06,7.146914375759738647e-02
3.858182902386720000e+15,7.125584577470882586e-01,4.320098609820421867e-19,9.513825709408974034e-06,7.147290126101921159e-02
3.889718902386720000e+15,7.125396719730509032e-01,4.319984715450886171e-19,9.513574888472018664e-06,7.147665856631923997e-02
3.921254902386720000e+15,7.125208871895044593e-01,4.319870827086495857e-19,9.513324080759742959e-06,7.148041567351315351e-02
3.952790902386720000e+15,7.125021033963706563e-01,4.319756944726779071e-19,9.513073286271103376e-06,7.148417258261660634e-02
3.984326902386720000e+15,7.124833205935711122e-01,4.319643068371259628e-19,9.512822505005052981e-06,7.148792929364526649e-02
4.015862902386720000e+15,7.124645387810275565e-01,4.319529198019462304e-19,9.512571736960544842e-06,7.149168580661480199e-02
4.047398902386720000e+15,7.124457579586617184e-01,4.319415333670913802e-19,9.512320982136537108e-06,7.149544212154086698e-02
4.078934902386720000e+15,7.124269781263952162e-01,4.319301475325139381e-19,9.512070240531981152e-06,7.149919823843912947e-02
4.110470902386720000e+15,7.124081992841497790e-01,4.319187622981662854e-19,9.511819512145833430e-06,7.150295415732524362e-02
4.142006902386720000e+15,7.123894214318471363e-01,4.319073776640009479e-19,9.511568796977045315e-06,7.150670987821487745e-02
4.173542902386720000e+15,7.123706445694090172e-01,4.318959936299707404e-19,9.511318095024576651e-06,7.151046540112367123e-02
4.205078902386720000e+15,7.123518686967571512e-01,4.318846101960278998e-19,9.511067406287378810e-06,7.151422072606729297e-02
4.236614902386720000e+15,7.123330938138132673e-01,4.318732273621251445e-19,9.510816730764408249e-06,7.151797585306139682e-02
4.268150902386720000e+15,7.123143199204990950e-01,4.318618451282149522e-19,9.510566068454619727e-06,7.152173078212162305e-02
4.299686902386720000e+15,7.122955470167363634e-01,4.318504634942499450e-19,9.510315419356969702e-06,7.152548551326362580e-02
4.331222902386720000e+15,7.122767751024469129e-01,4.318390824601827451e-19,9.510064783470411240e-06,7.152924004650304535e-02
4.362758902386720000e+15,7.122580041775524728e-01,4.318277020259656857e-19,9.509814160793902491e-06,7.153299438185553583e-02
4.394294902386720000e+15,7.122392342419748834e-01,4.318163221915515814e-19,9.509563551326396521e-06,7.153674851933673751e-02
4.425830902386720000e+15,7.122204652956358739e-01,4.318049429568930545e-19,9.509312955066851481e-06,7.154050245896229066e-02
4.457366902386720000e+15,7.122016973384572847e-01,4.317935643219424863e-19,9.509062372014223826e-06,7.154425620074784942e-02
4.488902902386720000e+15,7.121829303703608449e-01,4.317821862866524989e-19,9.508811802167466622e-06,7.154800974470904018e-02
4.520438902386720000e+15,7.121641643912685060e-01,4.317708088509758107e-19,9.508561245525536327e-06,7.155176309086150321e-02
4.551974902386720000e+15,7.121453994011019972e-01,4.317594320148649958e-19,9.508310702087391088e-06,7.155551623922087878e-02
4.583510902386720000e+15,7.121266353997831589e-01,4.317480557782725317e-19,9.508060171851987361e-06,7.155926918980279328e-02
4.615046902386720000e+15,7.121078723872338312e-01,4.317366801411513296e-19,9.507809654818279909e-06,7.156302194262288696e-02
4.646582902386720000e+15,7.120891103633758545e-01,4.317253051034537226e-19,9.507559150985226879e-06,7.156677449769678623e-02
4.678118902386720000e+15,7.120703493281310692e-01,4.317139306651324292e-19,9.507308660351783034e-06,7.157052685504011746e-02
4.709654902386720000e+15,7.120515892814214265e-01,4.317025568261400715e-19,9.507058182916906523e-06,7.157427901466852094e-02
4.741190902386720000e+15,7.120328302231686557e-01,4.316911835864292715e-19,9.506807718679553801e-06,7.157803097659760916e-02
4.772726902386720000e+15,7.120140721532948191e-01,4.316798109459526997e-19,9.506557267638681324e-06,7.158178274084300852e-02
4.804262902386720000e+15,7.119953150717216461e-01,4.316684389046629781e-19,9.506306829793247242e-06,7.158553430742034540e-02
4.835798902386720000e+15,7.119765589783710880e-01,4.316570674625126325e-19,9.506056405142206315e-06,7.158928567634524620e-02
4.867334902386720000e+15,7.119578038731650960e-01,4.316456966194546220e-19,9.505805993684520082e-06,7.159303684763332343e-02
4.898870902386720000e+15,7.119390497560255104e-01,4.316343263754413282e-19,9.505555595419143303e-06,7.159678782130020347e-02
4.930406902386720000e+15,7.119202966268742827e-01,4.316229567304254212e-19,9.505305210345032433e-06,7.160053859736148496e-02
4.961942902386720000e+15,7.119015444856333641e-01,4.316115876843598602e-19,9.505054838461149012e-06,7.160428917583279429e-02
4.993478902386720000e+15,7.118827933322247059e-01,4.316002192371970267e-19,9.504804479766446106e-06,7.160803955672974397e-02
5.025014902386720000e+15,7.118640431665702595e-01,4.315888513888896870e-19,9.504554134259883557e-06,7.161178974006794651e-02
5.056550902386720000e+15,7.118452939885918651e-01,4.315774841393905116e-19,9.504303801940421211e-06,7.161553972586301442e-02
5.088086902386720000e+15,7.118265457982115851e-01,4.315661174886522189e-19,9.504053482807015523e-06,7.161928951413054634e-02
5.119622902386720000e+15,7.118077985953513709e-01,4.315547514366274791e-19,9.503803176858622947e-06,7.162303910488615477e-02
5.151158902386720000e+15,7.117890523799331737e-01,4.315433859832688661e-19,9.503552884094205021e-06,7.162678849814543836e-02
5.182694902386720000e+15,7.117703071518790559e-01,4.315320211285293874e-19,9.503302604512718201e-06,7.163053769392400960e-02
5.214230902386720000e+15,7.117515629111109687e-01,4.315206568723614243e-19,9.503052338113120637e-06,7.163428669223746714e-02
5.245766902386720000e+15,7.117328196575509747e-01,4.315092932147179359e-19,9.502802084894372171e-06,7.163803549310140961e-02
5.277302902386720000e+15,7.117140773911210250e-01,4.314979301555514963e-19,9.502551844855430953e-06,7.164178409653143564e-02
5.308838902386720000e+15,7.116953361117430710e-01,4.314865676948148719e-19,9.502301617995256828e-06,7.164553250254314387e-02
5.340374902386720000e+15,7.116765958193392860e-01,4.314752058324609257e-19,9.502051404312807944e-06,7.164928071115211905e-02
5.371910902386720000e+15,7.116578565138316215e-01,4.314638445684421353e-19,9.501801203807044144e-06,7.165302872237395981e-02
5.403446902386720000e+15,7.116391181951421396e-01,4.314524839027113637e-19,9.501551016476921885e-06,7.165677653622426480e-02
5.434982902386720000e+15,7.116203808631929029e-01,4.314411238352213773e-19,9.501300842321402704e-06,7.166052415271861875e-02
5.466518902386720000e+15,7.116016445179058625e-01,4.314297643659249427e-19,9.501050681339446444e-06,7.166427157187260644e-02
5.498054902386720000e+15,7.115829091592031919e-01,4.314184054947745858e-19,9.500800533530011255e-06,7.166801879370181261e-02
5.529590902386720000e+15,7.115641747870070644e-01,4.314070472217233620e-19,9.500550398892056980e-06,7.167176581822183590e-02
5.561126902386720000e+15,7.115454414012394313e-01,4.313956895467238935e-19,9.500300277424543463e-06,7.167551264544824718e-02
5.592662902386720000e+15,7.115267090018223550e-01,4.313843324697290912e-19,9.500050169126432242e-06,7.167925927539663122e-02
5.624198902386720000e+15,7.115079775886780089e-01,4.313729759906914329e-19,9.499800073996679772e-06,7.168300570808257277e-02
5.655734902386720000e+15,7.114892471617285663e-01,4.313616201095639258e-19,9.499549992034249285e-06,7.168675194352164270e-02
5.687270902386720000e+15,7.114705177208960896e-01,4.313502648262992402e-19,9.499299923238098929e-06,7.169049798172942578e-02
5.718806902386720000e+15,7.114517892661026410e-01,4.313389101408503835e-19,9.499049867607190243e-06,7.169424382272149288e-02
5.750342902386720000e+15,7.114330617972703941e-01,4.313275560531697851e-19,9.498799825140483071e-06,7.169798946651341487e-02
5.781878902386720000e+15,7.114143353143215220e-01,4.313162025632106450e-19,9.498549795836938950e-06,7.170173491312076264e-02
